"","prefix","Replicate","Generation","mean.fitness","mean.prop.SL","Schedule","mean.learning.rate","mean.learning.rate.SL","mean.learning.episodes","mean.best.fitness","environmental.mean.location","perfrom","folder","seed","init_w_range","init_lr_range","init_le_mean","init_prop_sl","mut_rate_w","mut_step_w","lr_homogenous","mut_rate_lr","mut_step_lr","le_homogenous","mut_rate_le","mut_step_le","mut_rate_sl","mut_step_sl","N","G","lifespan","extrapolate_from","nr_replicates","env_sample_size","env_range","init_mean_env","sd_env","env_change","env_change_sd","env_change_type","env_change_rate","SL_type","IL_type","cue_type","sl_homogenous","one_social_parent","success_bias","sl_speed","mut_rate_schedule","differential_learning_rates","schedule_init","file_rep","f","M","f_M","f_M_simple","colSpaces","row","xLabs","Change","Rate","SD","IL","SL","Performance"
"111","109_sd_env_0.1_env_change_0.25_env_change_rate_10_IL_type_Unguided_",0,"G-2000",275.04652171911,0.992079550445227,0,0.902928028187856,0.414808916957371,24.7331244377811,319.450722436232,0.105404058182129,0.861107388879523,".",922329,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.1,0.25,0.05,"random",10,"ChooseParentLearnSelf","Unguided","Random","true","false","false",1,0,"true",0,"109_0",0.1,0.25,"Change: 0.25 (0.1)","0.25 (0.1)","Change: 10z","Env SD: 0.1","R",0.25,10,0.1,"R","Stimulus Enhancement",0.860998277360334
"112","109_sd_env_0.1_env_change_0.25_env_change_rate_10_IL_type_Unguided_",1,"G-2000",272.125567917123,0.997275175305997,0,1.58017532270615,0.724554052894203,31.0188335832084,316.639693896702,0.0355771840843328,0.859446167917607,".",922329,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.1,0.25,0.05,"random",10,"ChooseParentLearnSelf","Unguided","Random","true","false","false",1,0,"true",0,"109_1",0.1,0.25,"Change: 0.25 (0.1)","0.25 (0.1)","Change: 10z","Env SD: 0.1","R",0.25,10,0.1,"R","Stimulus Enhancement",0.859417101400746
"113","109_sd_env_0.1_env_change_0.25_env_change_rate_10_IL_type_Unguided_",2,"G-2000",262.032925315942,0.364220137108046,0,1.80910030708146,1.33157659418191,27.1097501249375,320.007975336432,0.037828414920102,0.81861312217829,".",922329,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.1,0.25,0.05,"random",10,"ChooseParentLearnSelf","Unguided","Random","true","false","false",1,0,"true",0,"109_2",0.1,0.25,"Change: 0.25 (0.1)","0.25 (0.1)","Change: 10z","Env SD: 0.1","R",0.25,10,0.1,"R","Stimulus Enhancement",0.818832483910629
"114","109_sd_env_0.1_env_change_0.25_env_change_rate_10_IL_type_Unguided_",3,"G-2000",272.193175714223,0.957373669571964,0,0.102736269102379,0.343236027150075,36.6303928035982,311.733197625237,0.0940067506216542,0.872868757797334,".",922329,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.1,0.25,0.05,"random",10,"ChooseParentLearnSelf","Unguided","Random","true","false","false",1,0,"true",0,"109_3",0.1,0.25,"Change: 0.25 (0.1)","0.25 (0.1)","Change: 10z","Env SD: 0.1","R",0.25,10,0.1,"R","Stimulus Enhancement",0.873160695709577
"115","109_sd_env_0.1_env_change_0.25_env_change_rate_10_IL_type_Unguided_",4,"G-2000",182.873988197568,0.288119329990746,0,1.17490948459595,0.765604654841879,15.7250064967516,328.026624985707,0.0618358597318141,0.558291551552835,".",922329,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.1,0.25,0.05,"random",10,"ChooseParentLearnSelf","Unguided","Random","true","false","false",1,0,"true",0,"109_4",0.1,0.25,"Change: 0.25 (0.1)","0.25 (0.1)","Change: 10z","Env SD: 0.1","R",0.25,10,0.1,"R","Stimulus Enhancement",0.7
"116","109_sd_env_0.1_env_change_0.25_env_change_rate_10_IL_type_Unguided_",5,"G-2000",271.75692041589,0.998720885431934,0,2.10028838454173,0.429769465191954,26.2541184407796,319.490852538431,0.101062534298287,0.850413526433779,".",922329,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.1,0.25,0.05,"random",10,"ChooseParentLearnSelf","Unguided","Random","true","false","false",1,0,"true",0,"109_5",0.1,0.25,"Change: 0.25 (0.1)","0.25 (0.1)","Change: 10z","Env SD: 0.1","R",0.25,10,0.1,"R","Stimulus Enhancement",0.850593743942014
"117","109_sd_env_0.1_env_change_0.25_env_change_rate_10_IL_type_Unguided_",6,"G-2000",262.15311247047,0.882138135985707,0,0.248809972246182,0.313519938142129,37.2227596201899,312.986960846427,-0.0705510006027986,0.837609594377986,".",922329,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.1,0.25,0.05,"random",10,"ChooseParentLearnSelf","Unguided","Random","true","false","false",1,0,"true",0,"109_6",0.1,0.25,"Change: 0.25 (0.1)","0.25 (0.1)","Change: 10z","Env SD: 0.1","R",0.25,10,0.1,"R","Stimulus Enhancement",0.837584772737866
"118","109_sd_env_0.1_env_change_0.25_env_change_rate_10_IL_type_Unguided_",7,"G-2000",266.272317344993,0.605673177047576,0,0.331215666531834,0.355449829058421,38.2038950524738,312.09986271929,-0.0904065998146427,0.85298493636735,".",922329,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.1,0.25,0.05,"random",10,"ChooseParentLearnSelf","Unguided","Random","true","false","false",1,0,"true",0,"109_7",0.1,0.25,"Change: 0.25 (0.1)","0.25 (0.1)","Change: 10z","Env SD: 0.1","R",0.25,10,0.1,"R","Stimulus Enhancement",0.853163840012594
"119","109_sd_env_0.1_env_change_0.25_env_change_rate_10_IL_type_Unguided_",8,"G-2000",274.752270109515,0.920710206730485,0,0.186242485140175,0.35053595259915,38.7872583708146,311.392852055272,-0.0279985378188056,0.882500309743234,".",922329,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.1,0.25,0.05,"random",10,"ChooseParentLearnSelf","Unguided","Random","true","false","false",1,0,"true",0,"109_8",0.1,0.25,"Change: 0.25 (0.1)","0.25 (0.1)","Change: 10z","Env SD: 0.1","R",0.25,10,0.1,"R","Stimulus Enhancement",0.882333259405539
"120","109_sd_env_0.1_env_change_0.25_env_change_rate_10_IL_type_Unguided_",9,"G-2000",278.698335832424,0.878252382382809,0,0.118519623491271,0.35796710385977,29.5902283858071,317.753873949625,-0.0395842537398501,0.876611664984739,".",922329,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.1,0.25,0.05,"random",10,"ChooseParentLearnSelf","Unguided","Random","true","false","false",1,0,"true",0,"109_9",0.1,0.25,"Change: 0.25 (0.1)","0.25 (0.1)","Change: 10z","Env SD: 0.1","R",0.25,10,0.1,"R","Stimulus Enhancement",0.877088711360943
