"","prefix","Replicate","Generation","mean.fitness","mean.prop.SL","Schedule","mean.learning.rate","mean.learning.rate.SL","mean.learning.episodes","mean.best.fitness","environmental.mean.location","sch_num_n1","sch_num_0","sch_num_1","perfrom","folder","seed","init_w_range","init_lr_range","init_le_mean","init_prop_sl","mut_rate_w","mut_step_w","lr_homogenous","mut_rate_lr","mut_step_lr","le_homogenous","mut_rate_le","mut_step_le","mut_rate_sl","mut_step_sl","N","G","lifespan","extrapolate_from","nr_replicates","env_sample_size","env_range","init_mean_env","sd_env","env_change","env_change_sd","env_change_type","env_change_rate","SL_type","IL_type","cue_type","sl_homogenous","one_social_parent","success_bias","sl_speed","mut_rate_schedule","differential_learning_rates","schedule_init","file_rep","f","M","f_M","f_M_simple","colSpaces","row","xLabs","Change","Rate","SD","IL","SL","ScheduleFactor","scheduleMode","Performance"
"11","2_sd_env_0.1_env_change_0.1_env_change_rate_1_IL_type_Guided_",0,"G-2000",257.659420878956,0.0173961115783418,0.0206016991504248,0.900657951910595,0.125269109339451,33.2205412293853,315.089515351524,-0.0885713955355462,301.067466266867,377.263368315842,321.669165417291,0.817710415595472,"D:/Groningen_Research/MS_Data/RedoModes_SL_Improved",436455,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.1,0.1,0.05,"random",1,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"2_0",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.1","PB",0.1,1,0.1,"PB","True Imitiation","0","0",0.817734035331207
"12","2_sd_env_0.1_env_change_0.1_env_change_rate_1_IL_type_Guided_",1,"G-2000",271.13350496038,0.198365180918941,-0.943856071964018,0.52757616973988,0.40589247186092,35.3474052973513,314.091038343878,-0.0665511600062291,956.03748125937,31.7811094452774,12.1814092953523,0.863253427714217,"D:/Groningen_Research/MS_Data/RedoModes_SL_Improved",436455,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.1,0.1,0.05,"random",1,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"2_1",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.1","PB",0.1,1,0.1,"PB","True Imitiation","-1","-1",0.86323222206529
"13","2_sd_env_0.1_env_change_0.1_env_change_rate_1_IL_type_Guided_",2,"G-2000",243.981466062329,0.00245390347402694,-0.0338630684657671,2.79401242184758,0.899606283687806,36.5694847576212,312.275880004898,-0.0141893366616102,358.894052973513,316.074962518741,325.030984507746,0.78123418239051,"D:/Groningen_Research/MS_Data/RedoModes_SL_Improved",436455,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.1,0.1,0.05,"random",1,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"2_2",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.1","PB",0.1,1,0.1,"PB","True Imitiation","0","-1",0.78130102798366
"14","2_sd_env_0.1_env_change_0.1_env_change_rate_1_IL_type_Guided_",3,"G-2000",286.155714997901,0.191711336283858,-0.938812593703148,0.660280062407446,0.448602977927486,28.0029315342329,318.937435169315,-0.0460345336603886,951.395802098951,36.0209895052474,12.5832083958021,0.897059992523509,"D:/Groningen_Research/MS_Data/RedoModes_SL_Improved",436455,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.1,0.1,0.05,"random",1,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"2_3",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.1","PB",0.1,1,0.1,"PB","True Imitiation","-1","-1",0.897215828069818
"15","2_sd_env_0.1_env_change_0.1_env_change_rate_1_IL_type_Guided_",4,"G-2000",178.399984969793,0.0766774602027661,0.0372183908045977,2.07212699608946,4.0573380091959,1.08676211894053,338.220491416492,-0.0453727157199876,404.393803098451,153.994002998501,441.612193903048,0.526716077019628,"D:/Groningen_Research/MS_Data/RedoModes_SL_Improved",436455,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.1,0.1,0.05,"random",1,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"2_4",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.1","PB",0.1,1,0.1,"PB","True Imitiation","0","1",0.7
"16","2_sd_env_0.1_env_change_0.1_env_change_rate_1_IL_type_Guided_",5,"G-2000",194.321290591066,0.0518367927334461,0.169277861069465,1.46732181943088,1.31738788324138,3.74041929035482,334.115965382659,0.000648336178815229,328.704647676162,173.312843578211,497.982508745627,0.581438517559327,"D:/Groningen_Research/MS_Data/RedoModes_SL_Improved",436455,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.1,0.1,0.05,"random",1,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"2_5",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.1","PB",0.1,1,0.1,"PB","True Imitiation","0","1",0.7
"17","2_sd_env_0.1_env_change_0.1_env_change_rate_1_IL_type_Guided_",6,"G-2000",272.333407712114,0.184895079093153,-0.941504747626187,0.746977573585357,0.312302521802349,36.6809790104948,313.144866207047,0.0180760120579303,954.211894052974,33.0809595202399,12.7071464267866,0.869487731772495,"D:/Groningen_Research/MS_Data/RedoModes_SL_Improved",436455,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.1,0.1,0.05,"random",1,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"2_6",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.1","PB",0.1,1,0.1,"PB","True Imitiation","-1","-1",0.869672273445642
"18","2_sd_env_0.1_env_change_0.1_env_change_rate_1_IL_type_Guided_",7,"G-2000",177.63456332521,0.049580726803525,0.376362818590705,0.281087720557876,1.87150788098251,6.41952373813093,333.289777536282,-0.0602753586474607,182.504247876062,258.628685657171,558.867066466767,0.532795864405759,"D:/Groningen_Research/MS_Data/RedoModes_SL_Improved",436455,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.1,0.1,0.05,"random",1,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"2_7",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.1","PB",0.1,1,0.1,"PB","True Imitiation","0","1",0.7
"19","2_sd_env_0.1_env_change_0.1_env_change_rate_1_IL_type_Guided_",8,"G-2000",181.464075332882,0.938216835672464,-0.0510824587706147,1.02813982883648,0.120558042315527,4.23746726636682,335.681112942779,0.0316124186307333,394.601699150425,261.879060469765,343.51924037981,0.540146052652619,"D:/Groningen_Research/MS_Data/RedoModes_SL_Improved",436455,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.1,0.1,0.05,"random",1,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"2_8",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.1","PB",0.1,1,0.1,"PB","True Imitiation","0","-1",0.7
"20","2_sd_env_0.1_env_change_0.1_env_change_rate_1_IL_type_Guided_",9,"G-2000",182.79010082983,0.186839454988911,0.241982008995502,1.19987083834538,0.173541341776545,9.22107846076961,331.151939971964,0.128933361908004,195.889555222389,366.23888055972,437.871564217891,0.552405728403758,"D:/Groningen_Research/MS_Data/RedoModes_SL_Improved",436455,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.1,0.1,0.05,"random",1,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"2_9",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.1","PB",0.1,1,0.1,"PB","True Imitiation","0","1",0.7
