"","prefix","Replicate","Generation","mean.fitness","mean.prop.SL","Schedule","mean.learning.rate","mean.learning.rate.SL","mean.learning.episodes","mean.best.fitness","environmental.mean.location","perfrom","folder","seed","init_w_range","init_lr_range","init_le_mean","init_prop_sl","mut_rate_w","mut_step_w","lr_homogenous","mut_rate_lr","mut_step_lr","le_homogenous","mut_rate_le","mut_step_le","mut_rate_sl","mut_step_sl","N","G","lifespan","extrapolate_from","nr_replicates","env_sample_size","env_range","init_mean_env","sd_env","env_change","env_change_sd","env_change_type","env_change_rate","SL_type","IL_type","cue_type","sl_homogenous","one_social_parent","success_bias","sl_speed","mut_rate_schedule","differential_learning_rates","schedule_init","file_rep","f","M","f_M","f_M_simple","colSpaces","row","xLabs","Change","Rate","SD","IL","SL","Performance","group"
"1511","235_sd_env_0.25_env_change_0.1_env_change_rate_1_IL_type_Guided_",0,"G-2000",402.016743961269,0.411510927438781,0,0.937382527251574,0.684931978067316,22.342876061969,431.072747030885,0.0280045035531074,0.932532374044013,".",529401,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.25,0.1,0.05,"random",1,"ChooseParentLearnSelf","Guided","Random","true","false","false",1,0,"true",0,"235_0",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.25","PB",0.1,1,0.25,"PB","Stimulus Enhancement",0.93259605653629,"0.1_1_0.25"
"1512","235_sd_env_0.25_env_change_0.1_env_change_rate_1_IL_type_Guided_",1,"G-2000",411.946509363068,0.679827598327986,0,0.961399119624238,0.737241304707396,17.7517571214393,435.774314372264,0.0547524778533993,0.945302864490444,".",529401,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.25,0.1,0.05,"random",1,"ChooseParentLearnSelf","Guided","Random","true","false","false",1,0,"true",0,"235_1",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.25","PB",0.1,1,0.25,"PB","Stimulus Enhancement",0.945320767600724,"0.1_1_0.25"
"1513","235_sd_env_0.25_env_change_0.1_env_change_rate_1_IL_type_Guided_",2,"G-2000",406.608167651074,0.432169708053773,0,0.71169881214023,0.55686360946032,25.4475872063968,428.458096936932,0.0612578549830134,0.948982627629188,".",529401,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.25,0.1,0.05,"random",1,"ChooseParentLearnSelf","Guided","Random","true","false","false",1,0,"true",0,"235_2",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.25","PB",0.1,1,0.25,"PB","Stimulus Enhancement",0.949003346086667,"0.1_1_0.25"
"1514","235_sd_env_0.25_env_change_0.1_env_change_rate_1_IL_type_Guided_",3,"G-2000",410.698207010995,0.680867287422239,0,0.751192373425837,0.752651035561069,16.6292828585707,436.458821842879,0.0542178207694053,0.940962047395249,".",529401,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.25,0.1,0.05,"random",1,"ChooseParentLearnSelf","Guided","Random","true","false","false",1,0,"true",0,"235_3",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.25","PB",0.1,1,0.25,"PB","Stimulus Enhancement",0.94097813231701,"0.1_1_0.25"
"1515","235_sd_env_0.25_env_change_0.1_env_change_rate_1_IL_type_Guided_",4,"G-2000",410.966715342929,0.736985387645727,0,1.0313686186944,0.801114294705147,16.5891009495252,436.651624963518,-0.00928865041128636,0.941174181246582,".",529401,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.25,0.1,0.05,"random",1,"ChooseParentLearnSelf","Guided","Random","true","false","false",1,0,"true",0,"235_4",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.25","PB",0.1,1,0.25,"PB","Stimulus Enhancement",0.941177570053163,"0.1_1_0.25"
"1516","235_sd_env_0.25_env_change_0.1_env_change_rate_1_IL_type_Guided_",5,"G-2000",403.038922063019,0.611998798738431,0,0.927105037245727,0.798393124418091,21.463616191904,432.124412734883,-0.104447796349238,0.932672416599598,".",529401,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.25,0.1,0.05,"random",1,"ChooseParentLearnSelf","Guided","Random","true","false","false",1,0,"true",0,"235_5",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.25","PB",0.1,1,0.25,"PB","Stimulus Enhancement",0.932691859532341,"0.1_1_0.25"
"1517","235_sd_env_0.25_env_change_0.1_env_change_rate_1_IL_type_Guided_",6,"G-2000",391.962061537731,0.452589082388956,0,0.576041962893303,0.500863858248426,23.1740059970015,430.662287745127,0.0244338979666997,0.910160002015455,".",529401,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.25,0.1,0.05,"random",1,"ChooseParentLearnSelf","Guided","Random","true","false","false",1,0,"true",0,"235_6",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.25","PB",0.1,1,0.25,"PB","Stimulus Enhancement",0.910137879938307,"0.1_1_0.25"
"1518","235_sd_env_0.25_env_change_0.1_env_change_rate_1_IL_type_Guided_",7,"G-2000",409.636634017991,0.630237155130035,0,0.835107808224988,0.699954519556672,17.6205357321339,435.401264711344,0.030252930357071,0.940797675474532,".",529401,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.25,0.1,0.05,"random",1,"ChooseParentLearnSelf","Guided","Random","true","false","false",1,0,"true",0,"235_7",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.25","PB",0.1,1,0.25,"PB","Stimulus Enhancement",0.940825549254125,"0.1_1_0.25"
"1519","235_sd_env_0.25_env_change_0.1_env_change_rate_1_IL_type_Guided_",8,"G-2000",406.2315847008,0.589236871767566,0,1.15232633083918,0.912443374094703,18.7624092953523,434.405679329585,-0.037755270169738,0.93511449896,".",529401,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.25,0.1,0.05,"random",1,"ChooseParentLearnSelf","Guided","Random","true","false","false",1,0,"true",0,"235_8",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.25","PB",0.1,1,0.25,"PB","Stimulus Enhancement",0.935143355694,"0.1_1_0.25"
"1520","235_sd_env_0.25_env_change_0.1_env_change_rate_1_IL_type_Guided_",9,"G-2000",399.950096953473,0.522078704053123,0,0.597588071709545,0.669587256001649,28.0904652673663,426.278883269115,-0.0742692339625167,0.938147225716715,".",529401,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.25,0.1,0.05,"random",1,"ChooseParentLearnSelf","Guided","Random","true","false","false",1,0,"true",0,"235_9",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.25","PB",0.1,1,0.25,"PB","Stimulus Enhancement",0.938235771582848,"0.1_1_0.25"
"1521","236_sd_env_0.25_env_change_0.1_env_change_rate_1_IL_type_Guided_",0,"G-2000",413.338374287606,0.858700226760969,0,1.04426978009525,0.602447557897801,15.1142873563218,438.252674029385,-0.0511704456000545,0.943114563134877,".",349261,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.25,0.1,0.05,"random",1,"ChooseParentLearnSelf","Guided","Random","true","false","false",1,0,"true",0,"236_0",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.25","PB",0.1,1,0.25,"PB","Stimulus Enhancement",0.943150832343561,"0.1_1_0.25"
"1522","236_sd_env_0.25_env_change_0.1_env_change_rate_1_IL_type_Guided_",1,"G-2000",399.910419735482,0.787916914516092,0,0.339119655937231,0.409239495311794,23.4685432283858,429.906175191054,0.0315647028567084,0.930219391875743,".",349261,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.25,0.1,0.05,"random",1,"ChooseParentLearnSelf","Guided","Random","true","false","false",1,0,"true",0,"236_1",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.25","PB",0.1,1,0.25,"PB","Stimulus Enhancement",0.93022720494247,"0.1_1_0.25"
"1523","236_sd_env_0.25_env_change_0.1_env_change_rate_1_IL_type_Guided_",2,"G-2000",402.209587107696,0.69692206808041,0,0.584117611782309,0.528793492105197,18.112347826087,435.08992450015,-0.075838188521173,0.924369146390729,".",349261,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.25,0.1,0.05,"random",1,"ChooseParentLearnSelf","Guided","Random","true","false","false",1,0,"true",0,"236_2",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.25","PB",0.1,1,0.25,"PB","Stimulus Enhancement",0.924428639826058,"0.1_1_0.25"
"1524","236_sd_env_0.25_env_change_0.1_env_change_rate_1_IL_type_Guided_",3,"G-2000",406.688241885457,0.519129549922289,0,1.10551229358351,0.682910991456372,18.078904047976,435.609011970065,0.0468248313229285,0.933548347708842,".",349261,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.25,0.1,0.05,"random",1,"ChooseParentLearnSelf","Guided","Random","true","false","false",1,0,"true",0,"236_3",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.25","PB",0.1,1,0.25,"PB","Stimulus Enhancement",0.93360842110724,"0.1_1_0.25"
"1525","236_sd_env_0.25_env_change_0.1_env_change_rate_1_IL_type_Guided_",4,"G-2000",411.475991137131,0.713305914771364,0,0.874087588757371,0.567777781270665,16.1259555222389,436.595774341779,0.0153578445317268,0.942448738187852,".",349261,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.25,0.1,0.05,"random",1,"ChooseParentLearnSelf","Guided","Random","true","false","false",1,0,"true",0,"236_4",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.25","PB",0.1,1,0.25,"PB","Stimulus Enhancement",0.94246443808917,"0.1_1_0.25"
"1526","236_sd_env_0.25_env_change_0.1_env_change_rate_1_IL_type_Guided_",5,"G-2000",405.16597688066,0.64707777507946,0,1.23992203334103,0.98907517496097,22.7616406796602,430.976391897351,0.100470689878393,0.940087519257456,".",349261,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.25,0.1,0.05,"random",1,"ChooseParentLearnSelf","Guided","Random","true","false","false",1,0,"true",0,"236_5",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.25","PB",0.1,1,0.25,"PB","Stimulus Enhancement",0.940111765976178,"0.1_1_0.25"
"1527","236_sd_env_0.25_env_change_0.1_env_change_rate_1_IL_type_Guided_",6,"G-2000",414.386583058471,0.409364551578711,0,0.936548628565417,0.697903695434783,21.4128180909545,431.917368408896,0.0779662591412754,0.959378033172533,".",349261,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.25,0.1,0.05,"random",1,"ChooseParentLearnSelf","Guided","Random","true","false","false",1,0,"true",0,"236_6",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.25","PB",0.1,1,0.25,"PB","Stimulus Enhancement",0.95941171475691,"0.1_1_0.25"
