"","prefix","Replicate","Generation","mean.fitness","mean.prop.SL","Schedule","mean.learning.rate","mean.learning.rate.SL","mean.learning.episodes","mean.best.fitness","environmental.mean.location","sch_num_n1","sch_num_0","sch_num_1","perfrom","folder","seed","init_w_range","init_lr_range","init_le_mean","init_prop_sl","mut_rate_w","mut_step_w","lr_homogenous","mut_rate_lr","mut_step_lr","le_homogenous","mut_rate_le","mut_step_le","mut_rate_sl","mut_step_sl","N","G","lifespan","extrapolate_from","nr_replicates","env_sample_size","env_range","init_mean_env","sd_env","env_change","env_change_sd","env_change_type","env_change_rate","SL_type","IL_type","cue_type","sl_homogenous","one_social_parent","success_bias","sl_speed","mut_rate_schedule","differential_learning_rates","schedule_init","file_rep","f","M","f_M","f_M_simple","colSpaces","row","xLabs","Change","Rate","SD","IL","SL","ScheduleFactor","scheduleMode","Performance"
"1","109_sd_env_0.25_env_change_0.1_env_change_rate_1_IL_type_Guided_",0,"G-2000",399.295426232334,0.205457169623288,-0.902005997001499,0.98050811995927,0.490561692045677,21.9984447776112,431.404701327636,0.1235136478983,928.647676161919,44.7106446776612,26.6416791604198,0.925465608893312,"D:/Groningen_Research/MS_Data/RedoModes_SL_Improved",937944,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.25,0.1,0.05,"random",1,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"109_0",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.25","PB",0.1,1,0.25,"PB","True Imitiation","-1","-1",0.925570409880823
"2","109_sd_env_0.25_env_change_0.1_env_change_rate_1_IL_type_Guided_",1,"G-2000",301.609122293218,0.335622426262027,-0.000482758620689657,1.02295351924513,1.97192890471164,0.344299350324838,451.290154275512,0.00168374141055797,365.84107946027,268.80059970015,365.35832083958,0.668395460077961,"D:/Groningen_Research/MS_Data/RedoModes_SL_Improved",937944,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.25,0.1,0.05,"random",1,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"109_1",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.25","PB",0.1,1,0.25,"PB","True Imitiation","0","-1",0.7
"3","109_sd_env_0.25_env_change_0.1_env_change_rate_1_IL_type_Guided_",2,"G-2000",406.922177359021,0.0118834801083346,-0.0659635182408796,0.540631151629335,0.12626434273912,18.4932288855572,434.512284487306,0.0519467585149601,388.346826586707,289.269865067466,322.383308345827,0.936491968393154,"D:/Groningen_Research/MS_Data/RedoModes_SL_Improved",937944,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.25,0.1,0.05,"random",1,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"109_2",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.25","PB",0.1,1,0.25,"PB","True Imitiation","0","-1",0.936503274790402
"4","109_sd_env_0.25_env_change_0.1_env_change_rate_1_IL_type_Guided_",3,"G-2000",331.213851425797,0.794664615375262,0.0583488255872064,2.46297821514193,0.991712867711894,0.390576211894053,451.01674361964,-0.0428611846435227,336.988005997001,267.675162418791,395.336831584208,0.734401530600994,"D:/Groningen_Research/MS_Data/RedoModes_SL_Improved",937944,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.25,0.1,0.05,"random",1,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"109_3",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.25","PB",0.1,1,0.25,"PB","True Imitiation","0","1",0.734371519708196
"5","109_sd_env_0.25_env_change_0.1_env_change_rate_1_IL_type_Guided_",4,"G-2000",390.014784237181,0.00292693951039749,0.081192403798101,0.486466721629985,3.38347184103598,26.1715522238881,428.558146735032,0.142448708168371,328.219390304848,262.368815592204,409.411794102949,0.909992092080183,"D:/Groningen_Research/MS_Data/RedoModes_SL_Improved",937944,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.25,0.1,0.05,"random",1,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"109_4",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.25","PB",0.1,1,0.25,"PB","True Imitiation","0","1",0.910062700262512
"6","109_sd_env_0.25_env_change_0.1_env_change_rate_1_IL_type_Guided_",5,"G-2000",401.984199728586,0.011224162199548,-0.012544227886057,0.543092502504348,0.135582075180317,17.8045767116442,434.935571848676,0.0273290706872929,361.581709145427,289.380809595202,349.03748125937,0.924228001851817,"D:/Groningen_Research/MS_Data/RedoModes_SL_Improved",937944,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.25,0.1,0.05,"random",1,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"109_5",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.25","PB",0.1,1,0.25,"PB","True Imitiation","0","-1",0.924238498175646
"7","109_sd_env_0.25_env_change_0.1_env_change_rate_1_IL_type_Guided_",6,"G-2000",406.793476921389,0.187400916702669,-0.895748125937031,0.873561237091704,0.283537898173463,23.2520234882559,430.932020496502,0.0430321029626699,926.941529235382,41.8650674662669,31.1934032983508,0.944002797961563,"D:/Groningen_Research/MS_Data/RedoModes_SL_Improved",937944,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.25,0.1,0.05,"random",1,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"109_6",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.25","PB",0.1,1,0.25,"PB","True Imitiation","-1","-1",0.943985263505595
"8","109_sd_env_0.25_env_change_0.1_env_change_rate_1_IL_type_Guided_",7,"G-2000",392.34689225992,0.0115010744398726,-0.0389190404797601,0.476692505988806,0.0933547021834553,19.6102623688156,434.107779583558,-0.00289248253791469,338.487256371814,361.944527736132,299.568215892054,0.903803949714861,"D:/Groningen_Research/MS_Data/RedoModes_SL_Improved",937944,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.25,0.1,0.05,"random",1,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"109_7",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.25","PB",0.1,1,0.25,"PB","True Imitiation","0","0",0.903800647471235
"9","109_sd_env_0.25_env_change_0.1_env_change_rate_1_IL_type_Guided_",8,"G-2000",403.755680382709,0.00534980103558161,0.0292448775612194,0.604133687848326,0.848726012584658,23.7440704647676,429.809987192604,-0.0126279966525505,351.744627686157,267.265867066467,380.989505247376,0.939338734379608,"D:/Groningen_Research/MS_Data/RedoModes_SL_Improved",937944,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.25,0.1,0.05,"random",1,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"109_8",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.25","PB",0.1,1,0.25,"PB","True Imitiation","0","1",0.939381802223642
"10","109_sd_env_0.25_env_change_0.1_env_change_rate_1_IL_type_Guided_",9,"G-2000",405.805772941179,0.0224103320632484,0.0051624187906047,0.620529388607396,0.0820461369255267,18.4326556721639,434.81200343978,-0.0717201967909326,317.611194402799,359.615192403798,322.773613193403,0.933241465770747,"D:/Groningen_Research/MS_Data/RedoModes_SL_Improved",937944,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.25,0.1,0.05,"random",1,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"109_9",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.25","PB",0.1,1,0.25,"PB","True Imitiation","0","0",0.933290179964826
