"","prefix","Replicate","Generation","mean.fitness","mean.prop.SL","Schedule","mean.learning.rate","mean.learning.rate.SL","mean.learning.episodes","mean.best.fitness","environmental.mean.location","perfrom","folder","seed","init_w_range","init_lr_range","init_le_mean","init_prop_sl","mut_rate_w","mut_step_w","lr_homogenous","mut_rate_lr","mut_step_lr","le_homogenous","mut_rate_le","mut_step_le","mut_rate_sl","mut_step_sl","N","G","lifespan","extrapolate_from","nr_replicates","env_sample_size","env_range","init_mean_env","sd_env","env_change","env_change_sd","env_change_type","env_change_rate","SL_type","IL_type","cue_type","sl_homogenous","one_social_parent","success_bias","sl_speed","mut_rate_schedule","differential_learning_rates","schedule_init","file_rep","f","M","f_M","f_M_simple","colSpaces","row","xLabs","Change","Rate","SD","IL","SL","Performance"
"1","1_sd_env_0.1_env_change_0.1_env_change_rate_1_IL_type_Unguided_",0,"G-2000",263.312175774913,0.0248984524192734,0,0.209315208448426,0.121683230498806,36.5046556721639,313.94287687926,-0.0627035187127276,0.838697248768481,".",764235,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.1,0.1,0.05,"random",1,"ChooseParentLearnParent","Unguided","Random","true","false","false",1,0,"true",0,"1_0",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.1","R",0.1,1,0.1,"R","True Imitiation",0.838726389948261
"2","1_sd_env_0.1_env_change_0.1_env_change_rate_1_IL_type_Unguided_",1,"G-2000",266.900735633183,0.0250454209896802,0,0.324140960126487,0.134960441698841,35.438231884058,314.288986813143,-0.0042426535040884,0.849222894353407,".",764235,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.1,0.1,0.05,"random",1,"ChooseParentLearnParent","Unguided","Random","true","false","false",1,0,"true",0,"1_1",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.1","R",0.1,1,0.1,"R","True Imitiation",0.849220770792919
"3","1_sd_env_0.1_env_change_0.1_env_change_rate_1_IL_type_Unguided_",2,"G-2000",269.568691651724,0.00201696151284853,0,0.243655967707046,0.985419113095902,45.5840729635182,306.983033670715,0.0783478358497242,0.878265571784371,".",764235,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.1,0.1,0.05,"random",1,"ChooseParentLearnParent","Unguided","Random","true","false","false",1,0,"true",0,"1_2",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.1","R",0.1,1,0.1,"R","True Imitiation",0.878122443538286
"4","1_sd_env_0.1_env_change_0.1_env_change_rate_1_IL_type_Unguided_",3,"G-2000",246.251213969065,0.0138893893131184,0,0.291118532109245,0.228443683967601,41.5490324837581,308.811513198951,-0.024157332057038,0.797183009046488,".",764235,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.1,0.1,0.05,"random",1,"ChooseParentLearnParent","Unguided","Random","true","false","false",1,0,"true",0,"1_3",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.1","R",0.1,1,0.1,"R","True Imitiation",0.797415910495598
"5","1_sd_env_0.1_env_change_0.1_env_change_rate_1_IL_type_Unguided_",4,"G-2000",270.158152456372,0.000973578492470465,0,0.274879352448776,2.08180375277861,26.705151924038,319.950646558721,-0.103692980125836,0.844348918658653,".",764235,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.1,0.1,0.05,"random",1,"ChooseParentLearnParent","Unguided","Random","true","false","false",1,0,"true",0,"1_4",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.1","R",0.1,1,0.1,"R","True Imitiation",0.844374453879372
"6","1_sd_env_0.1_env_change_0.1_env_change_rate_1_IL_type_Unguided_",5,"G-2000",264.032214462419,0.00802831600765777,0,0.21467770843968,0.448749679546377,37.247824087956,313.153577713993,0.132720265317218,0.84304066210851,".",764235,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.1,0.1,0.05,"random",1,"ChooseParentLearnParent","Unguided","Random","true","false","false",1,0,"true",0,"1_5",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.1","R",0.1,1,0.1,"R","True Imitiation",0.843139702857116
"7","1_sd_env_0.1_env_change_0.1_env_change_rate_1_IL_type_Unguided_",6,"G-2000",261.707601641629,0.020011423917004,0,0.18591560363963,0.321651022313118,38.7343303348326,311.441968975162,0.0785783433827401,0.840458457977077,".",764235,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.1,0.1,0.05,"random",1,"ChooseParentLearnParent","Unguided","Random","true","false","false",1,0,"true",0,"1_6",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.1","R",0.1,1,0.1,"R","True Imitiation",0.840309360048069
"8","1_sd_env_0.1_env_change_0.1_env_change_rate_1_IL_type_Unguided_",7,"G-2000",206.454454485457,0.00821479276094403,0,0.477536916430735,1.08390454409245,41.816672163918,309.793031657671,0.0249856786464553,0.666724661594255,".",764235,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.1,0.1,0.05,"random",1,"ChooseParentLearnParent","Unguided","Random","true","false","false",1,0,"true",0,"1_7",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.1","R",0.1,1,0.1,"R","True Imitiation",0.7
"9","1_sd_env_0.1_env_change_0.1_env_change_rate_1_IL_type_Unguided_",8,"G-2000",271.896614208796,0.00144141802808641,0,0.285527000971664,1.23557965799825,33.2751124437781,314.808339766217,-0.0884848383938466,0.863583290248865,".",764235,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.1,0.1,0.05,"random",1,"ChooseParentLearnParent","Unguided","Random","true","false","false",1,0,"true",0,"1_8",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.1","R",0.1,1,0.1,"R","True Imitiation",0.863689362266298
"10","1_sd_env_0.1_env_change_0.1_env_change_rate_1_IL_type_Unguided_",9,"G-2000",243.997678865022,0.0139130271365622,0,0.514422119138631,0.497136730304198,40.0874722638681,310.470980514143,0.0790407965647376,0.786039183163402,".",764235,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.1,0.1,0.05,"random",1,"ChooseParentLearnParent","Unguided","Random","true","false","false",1,0,"true",0,"1_9",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.1","R",0.1,1,0.1,"R","True Imitiation",0.785895282261033
