"","prefix","Replicate","Generation","mean.fitness","mean.prop.SL","Schedule","mean.learning.rate","mean.learning.rate.SL","mean.learning.episodes","mean.best.fitness","environmental.mean.location","perfrom","folder","seed","init_w_range","init_lr_range","init_le_mean","init_prop_sl","mut_rate_w","mut_step_w","lr_homogenous","mut_rate_lr","mut_step_lr","le_homogenous","mut_rate_le","mut_step_le","mut_rate_sl","mut_step_sl","N","G","lifespan","extrapolate_from","nr_replicates","env_sample_size","env_range","init_mean_env","sd_env","env_change","env_change_sd","env_change_type","env_change_rate","SL_type","IL_type","cue_type","sl_homogenous","one_social_parent","success_bias","sl_speed","mut_rate_schedule","differential_learning_rates","schedule_init","file_rep","f","M","f_M","f_M_simple","colSpaces","row","xLabs","Change","Rate","SD","IL","IL_long","SL","Performance"
"11","10_init_prop_sl_0_nr_replicates_5_sd_env_0.1_env_change_0.1_env_change_rate_1_IL_type_Guided_",4,"G-2000",272.013204166737,0,0,1.01948932506027,0.186112375010125,35.3950374812594,313.872759322589,-0.00314530948322074,0.866744986034457,"D:/IL_only_prelim_data_moreReps",234875,1,1,20,0,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0,0,1000,20000,500,30,5,10,1,0,0.1,0.1,0.05,"random",1,"ChooseParentLearnParent","Guided","Random","true","false","true",1,0,"true",0,"10_4",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.1","PB",0.1,1,0.1,"SG","Self-guided","True Imitiation",0.866635272056757
"12","10_init_prop_sl_0_sd_env_0.1_env_change_0.1_env_change_rate_1_IL_type_Guided_",0,"G-2000",206.452806626454,0,0,0.875933186586307,0.165813230960586,31.8198330834583,316.246248494553,0.058455919392219,0.654544462890204,"D:/IL_only_prelim_data_moreReps",234566,1,1,20,0,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0,0,1000,20000,500,30,1,10,1,0,0.1,0.1,0.05,"random",1,"ChooseParentLearnParent","Guided","Random","true","false","true",1,0,"true",0,"10_0",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.1","PB",0.1,1,0.1,"SG","Self-guided","True Imitiation",0.7
"13","100_init_prop_sl_0_nr_replicates_5_sd_env_0.1_env_change_0.25_env_change_rate_10_IL_type_Unguided_",0,"G-2000",260.482885672164,0,0,0.400001559625187,2.48438673052374,35.6799665167416,313.745753210345,0.048211753926017,0.83074338996293,"D:/IL_only_prelim_data_moreReps",234875,1,1,20,0,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0,0,1000,20000,500,30,5,10,1,0,0.1,0.25,0.05,"random",10,"ChooseParentLearnParent","Unguided","Random","true","false","true",1,0,"true",0,"100_0",0.1,0.25,"Change: 0.25 (0.1)","0.25 (0.1)","Change: 10z","Env SD: 0.1","R",0.25,10,0.1," UG "," Unguided ","True Imitiation",0.830235574527532
"14","100_init_prop_sl_0_nr_replicates_5_sd_env_0.1_env_change_0.25_env_change_rate_10_IL_type_Unguided_",1,"G-2000",230.171860712829,0,0,0.304541939682494,0.990323645456072,43.9976996501749,307.004577204048,-0.045613313332084,0.750569800287165,"D:/IL_only_prelim_data_moreReps",234875,1,1,20,0,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0,0,1000,20000,500,30,5,10,1,0,0.1,0.25,0.05,"random",10,"ChooseParentLearnParent","Unguided","Random","true","false","true",1,0,"true",0,"100_1",0.1,0.25,"Change: 0.25 (0.1)","0.25 (0.1)","Change: 10z","Env SD: 0.1","R",0.25,10,0.1," UG "," Unguided ","True Imitiation",0.749734296501538
"15","100_init_prop_sl_0_nr_replicates_5_sd_env_0.1_env_change_0.25_env_change_rate_10_IL_type_Unguided_",2,"G-2000",250.765924824428,0,0,1.803526598009,3.89199397009445,56.2811819090455,299.149418273863,0.187453170473505,0.838141827779213,"D:/IL_only_prelim_data_moreReps",234875,1,1,20,0,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0,0,1000,20000,500,30,5,10,1,0,0.1,0.25,0.05,"random",10,"ChooseParentLearnParent","Unguided","Random","true","false","true",1,0,"true",0,"100_2",0.1,0.25,"Change: 0.25 (0.1)","0.25 (0.1)","Change: 10z","Env SD: 0.1","R",0.25,10,0.1," UG "," Unguided ","True Imitiation",0.838263120387748
"16","100_init_prop_sl_0_nr_replicates_5_sd_env_0.1_env_change_0.25_env_change_rate_10_IL_type_Unguided_",3,"G-2000",260.695048708396,0,0,1.07478377545667,1.03795494701319,35.1891184407796,313.735825390255,-0.0222034062904148,0.830852409279393,"D:/IL_only_prelim_data_moreReps",234875,1,1,20,0,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0,0,1000,20000,500,30,5,10,1,0,0.1,0.25,0.05,"random",10,"ChooseParentLearnParent","Unguided","Random","true","false","true",1,0,"true",0,"100_3",0.1,0.25,"Change: 0.25 (0.1)","0.25 (0.1)","Change: 10z","Env SD: 0.1","R",0.25,10,0.1," UG "," Unguided ","True Imitiation",0.83093809380589
"17","100_init_prop_sl_0_nr_replicates_5_sd_env_0.1_env_change_0.25_env_change_rate_10_IL_type_Unguided_",4,"G-2000",261.134350887756,0,0,0.287008254927436,0.171538791691404,34.3489675162419,313.813846870265,0.0703114441405747,0.832220792674332,"D:/IL_only_prelim_data_moreReps",234875,1,1,20,0,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0,0,1000,20000,500,30,5,10,1,0,0.1,0.25,0.05,"random",10,"ChooseParentLearnParent","Unguided","Random","true","false","true",1,0,"true",0,"100_4",0.1,0.25,"Change: 0.25 (0.1)","0.25 (0.1)","Change: 10z","Env SD: 0.1","R",0.25,10,0.1," UG "," Unguided ","True Imitiation",0.832131384552042
"18","100_init_prop_sl_0_sd_env_0.1_env_change_0.25_env_change_rate_10_IL_type_Unguided_",0,"G-2000",266.253913811229,0,0,0.218774577426637,1.38500056777511,42.5939750124938,309.586891047226,-0.168816296627356,0.859968928572763,"D:/IL_only_prelim_data_moreReps",234566,1,1,20,0,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0,0,1000,20000,500,30,1,10,1,0,0.1,0.25,0.05,"random",10,"ChooseParentLearnParent","Unguided","Random","true","false","true",1,0,"true",0,"100_0",0.1,0.25,"Change: 0.25 (0.1)","0.25 (0.1)","Change: 10z","Env SD: 0.1","R",0.25,10,0.1," UG "," Unguided ","True Imitiation",0.860029676678439
"19","101_init_prop_sl_0_nr_replicates_5_sd_env_0.1_env_change_0.25_env_change_rate_100_IL_type_Guided_",0,"G-2000",302.947216736547,0,0,0.111322024151212,0.16522571263002,0.618065467266367,337.146717861819,-0.0488620768463243,0.89851254432908,"D:/IL_only_prelim_data_moreReps",134876,1,1,20,0,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0,0,1000,20000,500,30,5,10,1,0,0.1,0.25,0.05,"random",100,"ChooseParentLearnParent","Guided","Random","true","false","true",1,0,"true",0,"101_0",0.01,0.25,"Change: 0.25 (0.01)","0.25 (0.01)","Change: 100z","Env SD: 0.1","PB",0.25,100,0.1,"SG","Self-guided","True Imitiation",0.898561963342948
"20","101_init_prop_sl_0_nr_replicates_5_sd_env_0.1_env_change_0.25_env_change_rate_100_IL_type_Guided_",1,"G-2000",298.346179860605,0,0,0.910603123409245,1.06427522961249,8.76969665167416,331.709324536982,0.191423946511264,0.899169147846795,"D:/IL_only_prelim_data_moreReps",134876,1,1,20,0,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0,0,1000,20000,500,30,5,10,1,0,0.1,0.25,0.05,"random",100,"ChooseParentLearnParent","Guided","Random","true","false","true",1,0,"true",0,"101_1",0.01,0.25,"Change: 0.25 (0.01)","0.25 (0.01)","Change: 100z","Env SD: 0.1","PB",0.25,100,0.1,"SG","Self-guided","True Imitiation",0.89942054018847
