"","prefix","Replicate","Generation","mean.fitness","mean.prop.SL","Schedule","mean.learning.rate","mean.learning.rate.SL","mean.learning.episodes","mean.best.fitness","environmental.mean.location","sch_num_n1","sch_num_0","sch_num_1","perfrom","folder","seed","init_w_range","init_lr_range","init_le_mean","init_prop_sl","mut_rate_w","mut_step_w","lr_homogenous","mut_rate_lr","mut_step_lr","le_homogenous","mut_rate_le","mut_step_le","mut_rate_sl","mut_step_sl","N","G","lifespan","extrapolate_from","nr_replicates","env_sample_size","env_range","init_mean_env","sd_env","env_change","env_change_sd","env_change_type","env_change_rate","SL_type","IL_type","cue_type","sl_homogenous","one_social_parent","success_bias","sl_speed","mut_rate_schedule","differential_learning_rates","schedule_init","file_rep","Rate_Mag","Rate_Mag_simple","colSpaces","row","xLabs","Change","Rate","SD","IL","SL","f","M","scheduleMode","Performance"
"11","19_sd_env_0.25_env_change_0.25_env_change_rate_10_IL_type_Guided_",0,"G-2000",397.44279124013,0.264498659261419,-0.909110944527736,1.00682356304333,0.405035047625837,24.4224872563718,429.236721512544,0.0264953298090105,933.009495252374,43.0919540229885,23.8985507246377,0.925902973613698,"D:/Groningen_Research/MS_Data/LongRuns_oneEnv_feb21_2024",805625,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,2e+05,500,30,1,10,1,0,0.25,0.25,0.05,"random",10,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"19_0","Change: 0.25 (10)","0.25 (10)","Change: 10z","Env SD: 0.25","PB",0.25,10,0.25,"PB","True Imitiation",0.1,0.25,"-1",0.925929146601487
"12","2_sd_env_0.25_env_change_0.25_env_change_rate_10_IL_type_Guided_",0,"G-2000",311.094613148991,0.172400211809665,-0.0310759620189905,3.10029340050375,5.23394419591304,0.411942028985507,451.070282873813,-0.0477098234642729,391.602698650675,247.870564717641,360.526736631684,0.689776460175468,"D:/Groningen_Research/MS_Data/LongRuns_oneEnv_feb21_2024",454921,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,2e+05,500,30,1,10,1,0,0.25,0.25,0.05,"random",10,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"2_0","Change: 0.25 (10)","0.25 (10)","Change: 10z","Env SD: 0.25","PB",0.25,10,0.25,"PB","True Imitiation",0.1,0.25,"-1",0.7
"13","20_sd_env_0.25_env_change_0.25_env_change_rate_10_IL_type_Guided_",0,"G-2000",407.953445151874,0.00153250138784933,0.00737031484257871,0.49724934712059,3.751499305009,20.1293533233383,433.019939314793,0.0613110091463318,314.995002498751,362.63968015992,322.365317341329,0.942118952212865,"D:/Groningen_Research/MS_Data/LongRuns_oneEnv_feb21_2024",947839,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,2e+05,500,30,1,10,1,0,0.25,0.25,0.05,"random",10,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"20_0","Change: 0.25 (10)","0.25 (10)","Change: 10z","Env SD: 0.25","PB",0.25,10,0.25,"PB","True Imitiation",0.1,0.25,"0",0.942112378929746
"14","21_sd_env_0.25_env_change_0.25_env_change_rate_10_IL_type_Guided_",0,"G-2000",400.728648571764,0.00161579557229495,0.0246661669165417,0.502374356873563,1.86366539657671,20.0034487756122,433.453490165817,-0.0878734555086957,334.855572213893,305.622688655672,359.521739130435,0.924495307735752,"D:/Groningen_Research/MS_Data/LongRuns_oneEnv_feb21_2024",179815,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,2e+05,500,30,1,10,1,0,0.25,0.25,0.05,"random",10,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"21_0","Change: 0.25 (10)","0.25 (10)","Change: 10z","Env SD: 0.25","PB",0.25,10,0.25,"PB","True Imitiation",0.1,0.25,"1",0.924502069226541
"15","22_sd_env_0.25_env_change_0.25_env_change_rate_10_IL_type_Guided_",0,"G-2000",411.801717226237,0.00185093413751724,0.0653183408295852,0.60748297151924,3.07376968405997,19.8288790604698,433.616461996702,-0.237646918902049,322.567216391804,289.547226386807,387.885557221389,0.949647990951151,"D:/Groningen_Research/MS_Data/LongRuns_oneEnv_feb21_2024",538029,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,2e+05,500,30,1,10,1,0,0.25,0.25,0.05,"random",10,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"22_0","Change: 0.25 (10)","0.25 (10)","Change: 10z","Env SD: 0.25","PB",0.25,10,0.25,"PB","True Imitiation",0.1,0.25,"1",0.949691151784198
"16","23_sd_env_0.25_env_change_0.25_env_change_rate_10_IL_type_Guided_",0,"G-2000",399.903158125137,0.0014776742516945,-0.0629885057471264,0.409706390302699,2.12306673432784,19.3118700649675,433.937494064518,-0.111116276749775,358.013993003498,346.96051974013,295.025487256372,0.921536995231694,"D:/Groningen_Research/MS_Data/LongRuns_oneEnv_feb21_2024",46424,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,2e+05,500,30,1,10,1,0,0.25,0.25,0.05,"random",10,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"23_0","Change: 0.25 (10)","0.25 (10)","Change: 10z","Env SD: 0.25","PB",0.25,10,0.25,"PB","True Imitiation",0.1,0.25,"-1",0.921568575186728
"17","24_sd_env_0.25_env_change_0.25_env_change_rate_10_IL_type_Guided_",0,"G-2000",401.889256587756,0.258175092064318,-0.909555222388806,0.853311407394203,0.301998081810945,19.2809525237381,433.906907616842,-0.0947405898081409,934.397301349325,40.7606196901549,24.8420789605197,0.926175330652059,"D:/Groningen_Research/MS_Data/LongRuns_oneEnv_feb21_2024",725011,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,2e+05,500,30,1,10,1,0,0.25,0.25,0.05,"random",10,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"24_0","Change: 0.25 (10)","0.25 (10)","Change: 10z","Env SD: 0.25","PB",0.25,10,0.25,"PB","True Imitiation",0.1,0.25,"-1",0.926210782849857
"18","25_sd_env_0.25_env_change_0.25_env_change_rate_10_IL_type_Guided_",0,"G-2000",399.843895813039,0.00220745826048466,0.00647876061969016,0.512677762050425,0.627321559386157,21.2290334832584,432.040475873613,0.0486823581561269,321.029485257371,351.462268865567,327.508245877061,0.925479340970372,"D:/Groningen_Research/MS_Data/LongRuns_oneEnv_feb21_2024",835878,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,2e+05,500,30,1,10,1,0,0.25,0.25,0.05,"random",10,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"25_0","Change: 0.25 (10)","0.25 (10)","Change: 10z","Env SD: 0.25","PB",0.25,10,0.25,"PB","True Imitiation",0.1,0.25,"0",0.925477861777949
"19","26_sd_env_0.25_env_change_0.25_env_change_rate_10_IL_type_Guided_",0,"G-2000",391.869419222039,0.00175023312162936,-0.0427551224387806,0.326635376688106,5.55593358323588,19.7898765617191,433.58902363988,0.0209185163600999,379.306846576712,284.141429285357,336.551724137931,0.903725553789611,"D:/Groningen_Research/MS_Data/LongRuns_oneEnv_feb21_2024",606225,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,2e+05,500,30,1,10,1,0,0.25,0.25,0.05,"random",10,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"26_0","Change: 0.25 (10)","0.25 (10)","Change: 10z","Env SD: 0.25","PB",0.25,10,0.25,"PB","True Imitiation",0.1,0.25,"-1",0.903780764403087
"20","27_sd_env_0.25_env_change_0.25_env_change_rate_10_IL_type_Guided_",0,"G-2000",404.70146981909,0.2430723683005,-0.90623888055972,1.02288371483543,0.304359429090405,17.4034817591204,435.665952063568,0.0626541540513943,931.856071964018,42.5267366316842,25.6171914042979,0.92888610416342,"D:/Groningen_Research/MS_Data/LongRuns_oneEnv_feb21_2024",101066,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,2e+05,500,30,1,10,1,0,0.25,0.25,0.05,"random",10,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"27_0","Change: 0.25 (10)","0.25 (10)","Change: 10z","Env SD: 0.25","PB",0.25,10,0.25,"PB","True Imitiation",0.1,0.25,"-1",0.9289260909699
