"","prefix","Replicate","Generation","mean.fitness","mean.prop.SL","Schedule","mean.learning.rate","mean.learning.rate.SL","mean.learning.episodes","mean.best.fitness","environmental.mean.location","sch_num_n1","sch_num_0","sch_num_1","perfrom","folder","seed","init_w_range","init_lr_range","init_le_mean","init_prop_sl","mut_rate_w","mut_step_w","lr_homogenous","mut_rate_lr","mut_step_lr","le_homogenous","mut_rate_le","mut_step_le","mut_rate_sl","mut_step_sl","N","G","lifespan","extrapolate_from","nr_replicates","env_sample_size","env_range","init_mean_env","sd_env","env_change","env_change_sd","env_change_type","env_change_rate","SL_type","IL_type","cue_type","sl_homogenous","one_social_parent","success_bias","sl_speed","mut_rate_schedule","differential_learning_rates","schedule_init","file_rep","Rate_Mag","Rate_Mag_simple","colSpaces","row","xLabs","Change","Rate","SD","IL","SL","f","M","scheduleMode","Performance"
"11","19_sd_env_0.25_env_change_0.25_env_change_rate_10_IL_type_Guided_",0,"G-2000",387.894688725262,0.240774801901029,-0.887525237381309,1.04104672353903,0.649918392892754,24.5581074462769,429.096443196152,-0.0356383282562719,917.371314342829,52.7826086956522,29.8460769615192,0.903833827849221,"D:/Groningen_Research/MS_Data/LongRuns_oneEnv_feb21_2024",805625,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,2e+05,500,30,1,10,1,0,0.25,0.25,0.05,"random",10,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"19_0","Change: 0.25 (10)","0.25 (10)","Change: 10z","Env SD: 0.25","PB",0.25,10,0.25,"PB","True Imitiation",0.1,0.25,"-1",0.903980200432341
"12","2_sd_env_0.25_env_change_0.25_env_change_rate_10_IL_type_Guided_",0,"G-2000",345.198511295887,0.925960045204198,-0.0384012993503248,1.44964383167866,0.449492006226187,0.834295352323838,450.381498223488,-0.047798442238046,359.004997501249,320.391304347826,320.603698150925,0.766501459908445,"D:/Groningen_Research/MS_Data/LongRuns_oneEnv_feb21_2024",454921,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,2e+05,500,30,1,10,1,0,0.25,0.25,0.05,"random",10,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"2_0","Change: 0.25 (10)","0.25 (10)","Change: 10z","Env SD: 0.25","PB",0.25,10,0.25,"PB","True Imitiation",0.1,0.25,"-1",0.766458019828765
"13","20_sd_env_0.25_env_change_0.25_env_change_rate_10_IL_type_Guided_",0,"G-2000",404.706733698101,0.196413814491254,-0.896092453773113,1.03717160481594,0.479314052986157,19.0278975512244,434.413606909795,-0.036209389156965,923.982508745627,48.1274362818591,27.8900549725137,0.931552468472557,"D:/Groningen_Research/MS_Data/LongRuns_oneEnv_feb21_2024",947839,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,2e+05,500,30,1,10,1,0,0.25,0.25,0.05,"random",10,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"20_0","Change: 0.25 (10)","0.25 (10)","Change: 10z","Env SD: 0.25","PB",0.25,10,0.25,"PB","True Imitiation",0.1,0.25,"-1",0.931616153962087
"14","21_sd_env_0.25_env_change_0.25_env_change_rate_10_IL_type_Guided_",0,"G-2000",396.187524021139,0.00393625346542309,-0.0283773113443278,0.481472019929885,2.20537958469015,19.590267866067,434.081005953873,-0.0440036180836237,379.834582708646,268.708145927036,351.457271364318,0.912721235975555,"D:/Groningen_Research/MS_Data/LongRuns_oneEnv_feb21_2024",179815,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,2e+05,500,30,1,10,1,0,0.25,0.25,0.05,"random",10,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"21_0","Change: 0.25 (10)","0.25 (10)","Change: 10z","Env SD: 0.25","PB",0.25,10,0.25,"PB","True Imitiation",0.1,0.25,"-1",0.912704123394054
"15","22_sd_env_0.25_env_change_0.25_env_change_rate_10_IL_type_Guided_",0,"G-2000",377.184223452024,0.00338727397918943,0.0500789605197401,0.299979141715992,1.29195160776237,19.3677111444278,434.238468753873,0.0284453916584173,344.631184407796,260.658670664668,394.710144927536,0.868638717105985,"D:/Groningen_Research/MS_Data/LongRuns_oneEnv_feb21_2024",538029,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,2e+05,500,30,1,10,1,0,0.25,0.25,0.05,"random",10,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"22_0","Change: 0.25 (10)","0.25 (10)","Change: 10z","Env SD: 0.25","PB",0.25,10,0.25,"PB","True Imitiation",0.1,0.25,"1",0.868610799348163
"16","23_sd_env_0.25_env_change_0.25_env_change_rate_10_IL_type_Guided_",0,"G-2000",340.059365021329,0.0634906394415895,0.0874512743628186,0.427715388727086,1.77800859837031,15.5262428785607,437.536463636382,0.0646945270852174,347.693153423288,217.162418790605,435.144427786107,0.777113148409862,"D:/Groningen_Research/MS_Data/LongRuns_oneEnv_feb21_2024",46424,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,2e+05,500,30,1,10,1,0,0.25,0.25,0.05,"random",10,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"23_0","Change: 0.25 (10)","0.25 (10)","Change: 10z","Env SD: 0.25","PB",0.25,10,0.25,"PB","True Imitiation",0.1,0.25,"1",0.777213771385093
"17","24_sd_env_0.25_env_change_0.25_env_change_rate_10_IL_type_Guided_",0,"G-2000",397.361863825137,0.342974833694353,-0.862856071964018,0.952974627021539,0.422372276073313,29.1222823588206,425.5331339007,0.0903139194467866,895.618690654673,71.6186906546727,32.7626186906547,0.933806834000275,"D:/Groningen_Research/MS_Data/LongRuns_oneEnv_feb21_2024",725011,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,2e+05,500,30,1,10,1,0,0.25,0.25,0.05,"random",10,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"24_0","Change: 0.25 (10)","0.25 (10)","Change: 10z","Env SD: 0.25","PB",0.25,10,0.25,"PB","True Imitiation",0.1,0.25,"-1",0.933797704969933
"18","25_sd_env_0.25_env_change_0.25_env_change_rate_10_IL_type_Guided_",0,"G-2000",387.689711097651,0.00291824509699556,-0.0503238380809595,0.40410445373968,0.552807938227386,24.6058195902049,429.724217377011,0.0437725478386907,407.084457771114,236.154922538731,356.760619690155,0.902217020340413,"D:/Groningen_Research/MS_Data/LongRuns_oneEnv_feb21_2024",835878,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,2e+05,500,30,1,10,1,0,0.25,0.25,0.05,"random",10,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"25_0","Change: 0.25 (10)","0.25 (10)","Change: 10z","Env SD: 0.25","PB",0.25,10,0.25,"PB","True Imitiation",0.1,0.25,"-1",0.902182598560691
"19","26_sd_env_0.25_env_change_0.25_env_change_rate_10_IL_type_Guided_",0,"G-2000",356.241120028106,0.0507962990025573,-0.0178205897051474,0.375333874917016,0.166622577163237,4.44387606196902,448.068706915592,0.000776458974872562,352.199900049975,313.420789605197,334.379310344828,0.79504311994658,"D:/Groningen_Research/MS_Data/LongRuns_oneEnv_feb21_2024",606225,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,2e+05,500,30,1,10,1,0,0.25,0.25,0.05,"random",10,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"26_0","Change: 0.25 (10)","0.25 (10)","Change: 10z","Env SD: 0.25","PB",0.25,10,0.25,"PB","True Imitiation",0.1,0.25,"-1",0.795059138319194
"20","27_sd_env_0.25_env_change_0.25_env_change_rate_10_IL_type_Guided_",0,"G-2000",406.688051887906,0.178103972937076,-0.901194402798601,0.815586339709045,0.282058073928936,19.689355822089,433.790562557921,0.0146352126870265,927.959020489755,45.2763618190905,26.7646176911544,0.9375114407429,"D:/Groningen_Research/MS_Data/LongRuns_oneEnv_feb21_2024",101066,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,2e+05,500,30,1,10,1,0,0.25,0.25,0.05,"random",10,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"27_0","Change: 0.25 (10)","0.25 (10)","Change: 10z","Env SD: 0.25","PB",0.25,10,0.25,"PB","True Imitiation",0.1,0.25,"-1",0.937521668267285
"21","28_sd_env_0.25_env_change_0.25_env_change_rate_10_IL_type_Guided_",0,"G-2000",406.725873967316,0.00148209252125602,-0.045439780109945,0.434442601023038,1.34484179009945,19.3256071964018,434.736343950325,-0.0100192336535957,386.280859570215,272.878060969515,340.84107946027,0.935555598719845,"D:/Groningen_Research/MS_Data/LongRuns_oneEnv_feb21_2024",625359,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,2e+05,500,30,1,10,1,0,0.25,0.25,0.05,"random",10,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"28_0","Change: 0.25 (10)","0.25 (10)","Change: 10z","Env SD: 0.25","PB",0.25,10,0.25,"PB","True Imitiation",0.1,0.25,"-1",0.93556906301303
"22","29_sd_env_0.25_env_change_0.25_env_change_rate_10_IL_type_Guided_",0,"G-2000",370.75159522027,0.00246509303314228,0.00426836581709145,0.503380890127386,1.51086202545972,19.5741209395302,434.078040796602,-0.00258445235632684,341.51924037981,312.693153423288,345.787606196902,0.854132510565515,"D:/Groningen_Research/MS_Data/LongRuns_oneEnv_feb21_2024",989269,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,2e+05,500,30,1,10,1,0,0.25,0.25,0.05,"random",10,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"29_0","Change: 0.25 (10)","0.25 (10)","Change: 10z","Env SD: 0.25","PB",0.25,10,0.25,"PB","True Imitiation",0.1,0.25,"1",0.854112764008707
"23","3_sd_env_0.25_env_change_0.25_env_change_rate_10_IL_type_Guided_",0,"G-2000",356.483566436472,0.0174332994321446,-0.136266866566717,0.949309165782759,1.75347192422539,6.89281809095452,444.708855836482,0.0296157987234733,446.55772113943,243.151424287856,310.290854572714,0.801544169966831,"D:/Groningen_Research/MS_Data/LongRuns_oneEnv_feb21_2024",254783,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,2e+05,500,30,1,10,1,0,0.25,0.25,0.05,"random",10,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"3_0","Change: 0.25 (10)","0.25 (10)","Change: 10z","Env SD: 0.25","PB",0.25,10,0.25,"PB","True Imitiation",0.1,0.25,"-1",0.801611125476552
"24","30_sd_env_0.25_env_change_0.25_env_change_rate_10_IL_type_Guided_",0,"G-2000",407.216045165117,0.226395056898001,-0.930791104447776,0.769698196937731,0.2982494927991,18.9555832083958,434.23615451919,-0.0537952988427236,948.263368315842,34.264367816092,17.472263868066,0.937694475730209,"D:/Groningen_Research/MS_Data/LongRuns_oneEnv_feb21_2024",241698,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,2e+05,500,30,1,10,1,0,0.25,0.25,0.05,"random",10,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"30_0","Change: 0.25 (10)","0.25 (10)","Change: 10z","Env SD: 0.25","PB",0.25,10,0.25,"PB","True Imitiation",0.1,0.25,"-1",0.937775542011256
"25","31_sd_env_0.25_env_change_0.25_env_change_rate_10_IL_type_Guided_",0,"G-2000",377.720855015043,0.0020361661773608,-0.0241214392803598,0.49803189837951,1.62551408516992,26.25203998001,427.486125484958,0.10421517108945,356.987506246877,310.146426786607,332.866066966517,0.88356763297523,"D:/Groningen_Research/MS_Data/LongRuns_oneEnv_feb21_2024",492024,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,2e+05,500,30,1,10,1,0,0.25,0.25,0.05,"random",10,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"31_0","Change: 0.25 (10)","0.25 (10)","Change: 10z","Env SD: 0.25","PB",0.25,10,0.25,"PB","True Imitiation",0.1,0.25,"-1",0.88358623238717
"26","32_sd_env_0.25_env_change_0.25_env_change_rate_10_IL_type_Guided_",0,"G-2000",340.081504394813,0.812258056110445,0.128903048475762,0.325375779616592,0.349997286137611,1.17589705147426,450.087324454323,-0.0432827482353723,311.008995502249,249.07896051974,439.912043978011,0.755772222334806,"D:/Groningen_Research/MS_Data/LongRuns_oneEnv_feb21_2024",399783,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,2e+05,500,30,1,10,1,0,0.25,0.25,0.05,"random",10,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"32_0","Change: 0.25 (10)","0.25 (10)","Change: 10z","Env SD: 0.25","PB",0.25,10,0.25,"PB","True Imitiation",0.1,0.25,"1",0.755590050902058
"27","33_sd_env_0.25_env_change_0.25_env_change_rate_10_IL_type_Guided_",0,"G-2000",327.581711146752,0.0445887318738921,-0.118312843578211,2.99445448621289,0.690905835917991,2.69375262368816,449.071198695652,0.0371474038612744,419.572713643178,279.167416291854,301.259870064968,0.729274345615381,"D:/Groningen_Research/MS_Data/LongRuns_oneEnv_feb21_2024",858595,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,2e+05,500,30,1,10,1,0,0.25,0.25,0.05,"random",10,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"33_0","Change: 0.25 (10)","0.25 (10)","Change: 10z","Env SD: 0.25","PB",0.25,10,0.25,"PB","True Imitiation",0.1,0.25,"-1",0.729464975928601
"28","34_sd_env_0.25_env_change_0.25_env_change_rate_10_IL_type_Guided_",0,"G-2000",388.73967545982,0.00175239694304861,-0.0452833583208396,0.281712855623338,2.78974620025337,27.7083343328336,426.560663588856,-0.105297672023553,331.923538230885,381.43628185907,286.640179910045,0.911354733011587,"D:/Groningen_Research/MS_Data/LongRuns_oneEnv_feb21_2024",819297,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,2e+05,500,30,1,10,1,0,0.25,0.25,0.05,"random",10,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"34_0","Change: 0.25 (10)","0.25 (10)","Change: 10z","Env SD: 0.25","PB",0.25,10,0.25,"PB","True Imitiation",0.1,0.25,"0",0.911335030729673
"29","35_sd_env_0.25_env_change_0.25_env_change_rate_10_IL_type_Guided_",0,"G-2000",362.728055498251,0.120172775340548,-0.541288355822089,0.772823775030485,0.136794262567706,16.7792833583208,436.454892243778,-0.0526067877241129,683.759620189905,173.769115442279,142.471264367816,0.831092324522386,"D:/Groningen_Research/MS_Data/LongRuns_oneEnv_feb21_2024",824150,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,2e+05,500,30,1,10,1,0,0.25,0.25,0.05,"random",10,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"35_0","Change: 0.25 (10)","0.25 (10)","Change: 10z","Env SD: 0.25","PB",0.25,10,0.25,"PB","True Imitiation",0.1,0.25,"-1",0.831077992123073
"30","36_sd_env_0.25_env_change_0.25_env_change_rate_10_IL_type_Guided_",0,"G-2000",345.514625586317,0.308002117455747,0.0592758620689655,0.589656359353073,0.668561946691704,2.43628685657171,448.91865167936,-0.0457748915035582,334.085957021489,272.552223888056,393.361819090455,0.769595787872454,"D:/Groningen_Research/MS_Data/LongRuns_oneEnv_feb21_2024",535489,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,2e+05,500,30,1,10,1,0,0.25,0.25,0.05,"random",10,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"36_0","Change: 0.25 (10)","0.25 (10)","Change: 10z","Env SD: 0.25","PB",0.25,10,0.25,"PB","True Imitiation",0.1,0.25,"1",0.769659768632426
"31","37_sd_env_0.25_env_change_0.25_env_change_rate_10_IL_type_Guided_",0,"G-2000",397.266332710395,0.255046882703048,-0.910602698650675,0.588680129582609,0.235679553904998,19.0877906046977,434.30750511929,-0.0292448728333333,938.334332833583,33.9340329835082,27.7316341829085,0.914675229778013,"D:/Groningen_Research/MS_Data/LongRuns_oneEnv_feb21_2024",302776,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,2e+05,500,30,1,10,1,0,0.25,0.25,0.05,"random",10,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"37_0","Change: 0.25 (10)","0.25 (10)","Change: 10z","Env SD: 0.25","PB",0.25,10,0.25,"PB","True Imitiation",0.1,0.25,"-1",0.914712106117713
"32","38_sd_env_0.25_env_change_0.25_env_change_rate_10_IL_type_Guided_",0,"G-2000",404.970812651974,0.00887606130173168,-0.0463853073463268,0.525739842494953,0.143786506057831,19.4705702148926,434.381556211094,0.0687137966146477,346.580209895052,353.224887556222,300.194902548726,0.932256735769241,"D:/Groningen_Research/MS_Data/LongRuns_oneEnv_feb21_2024",6764,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,2e+05,500,30,1,10,1,0,0.25,0.25,0.05,"random",10,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"38_0","Change: 0.25 (10)","0.25 (10)","Change: 10z","Env SD: 0.25","PB",0.25,10,0.25,"PB","True Imitiation",0.1,0.25,"0",0.932292835322807
"33","39_sd_env_0.25_env_change_0.25_env_change_rate_10_IL_type_Guided_",0,"G-2000",401.826417553023,0.00305025514265247,0.0861474262868566,0.441182250857721,0.793615552475012,19.7279735132434,433.355245198201,0.111965267347536,306.570214892554,300.712143928036,392.71764117941,0.927294002528097,"D:/Groningen_Research/MS_Data/LongRuns_oneEnv_feb21_2024",437247,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,2e+05,500,30,1,10,1,0,0.25,0.25,0.05,"random",10,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"39_0","Change: 0.25 (10)","0.25 (10)","Change: 10z","Env SD: 0.25","PB",0.25,10,0.25,"PB","True Imitiation",0.1,0.25,"1",0.927244845898293
